file	status	bytes	title_or_note	url
arxiv-1708.04782.pdf	OK	2070901	StarCraft II: A New Challenge for Reinforcement Learning	https://arxiv.org/abs/1708.04782
arxiv-2105.13807.pdf	OK	1685475	Gym-$μ$RTS: Toward Affordable Full Game Real-time Strategy Games Research with Deep Reinforcement Learning	https://arxiv.org/abs/2105.13807
arxiv-2006.14171.pdf	OK	1010251	A Closer Look at Invalid Action Masking in Policy Gradient Algorithms	https://arxiv.org/abs/2006.14171
arxiv-2011.06363.pdf	OK	385429	Griddly: A platform for AI research in games	https://arxiv.org/abs/2011.06363
arxiv-2006.13760.pdf	OK	4745588	The NetHack Learning Environment	https://arxiv.org/abs/2006.13760
arxiv-1912.06680.pdf	OK	8811456	Dota 2 with Large Scale Deep Reinforcement Learning	https://arxiv.org/abs/1912.06680
arxiv-2206.02855.pdf	OK	362186	Efficient entity-based reinforcement learning	https://arxiv.org/abs/2206.02855
arxiv-2105.11674.pdf	OK	1050966	Unbiased Asymmetric Reinforcement Learning under Partial Observability	https://arxiv.org/abs/2105.11674
arxiv-1710.06542.pdf	OK	4752351	Asymmetric Actor Critic for Image-Based Robot Learning	https://arxiv.org/abs/1710.06542
arxiv-2110.05038.pdf	OK	12623506	Recurrent Model-Free RL Can Be a Strong Baseline for Many POMDPs	https://arxiv.org/abs/2110.05038
arxiv-2308.03526.pdf	OK	1002417	AlphaStar Unplugged: Large-Scale Offline Reinforcement Learning	https://arxiv.org/abs/2308.03526
arxiv-2104.06890.pdf	OK	1901271	An Introduction of mini-AlphaStar	https://arxiv.org/abs/2104.06890
arxiv-2009.05643.pdf	OK	465878	The Design Of &#34;Stratega&#34;: A General Strategy Games Framework	https://arxiv.org/abs/2009.05643
arxiv-1811.06447.pdf	OK	1157999	Adversarial Resilience Learning - Towards Systemic Vulnerability Analysis for Large and Complex Systems	https://arxiv.org/abs/1811.06447
arxiv-2410.17647.pdf	OK	932799	Entity-based Reinforcement Learning for Autonomous Cyber Defence	https://arxiv.org/abs/2410.17647
arxiv-2104.03113.pdf	OK	465709	Scaling Scaling Laws with Board Games	https://arxiv.org/abs/2104.03113
arxiv-2305.19240.pdf	OK	7169379	NetHack is Hard to Hack	https://arxiv.org/abs/2305.19240
arxiv-2607.06514.pdf	OK	1926018	FootsiesGym: A Fighting Game Benchmark for Two-Player Zero-Sum Imperfect-Information Games	https://arxiv.org/abs/2607.06514
